%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
38723000000,0.0,0.0,0.0,0.0,0.0,-0.5
38823000000,0.0,0.0,0.0,0.0,0.0,-0.5
38927000000,0.0,0.0,0.0,0.0,0.0,-0.5
39021000000,0.0,0.0,0.0,0.0,0.0,-0.5
39123000000,0.0,0.0,0.0,0.0,0.0,-0.5
39223000000,0.0,0.0,0.0,0.0,0.0,-0.5
39331000000,0.0,0.0,0.0,0.0,0.0,-0.5
39425000000,0.0,0.0,0.0,0.0,0.0,-0.5
39526000000,0.0,0.0,0.0,0.0,0.0,-0.5
39629000000,0.4,0.0,0.0,0.0,0.0,0.0
39723000000,0.4,0.0,0.0,0.0,0.0,0.0
39823000000,0.4,0.0,0.0,0.0,0.0,0.0
39928000000,0.0,0.0,0.0,0.0,0.0,0.5
40032000000,0.0,0.0,0.0,0.0,0.0,0.5
40131000000,0.0,0.0,0.0,0.0,0.0,0.5
40223000000,0.0,0.0,0.0,0.0,0.0,0.5
40327000000,0.0,0.0,0.0,0.0,0.0,0.5
40423000000,0.0,0.0,0.0,0.0,0.0,0.5
40524000000,0.0,0.0,0.0,0.0,0.0,0.5
40622000000,0.0,0.0,0.0,0.0,0.0,0.5
40726000000,0.0,0.0,0.0,0.0,0.0,0.5
40824000000,0.0,0.0,0.0,0.0,0.0,0.5
40927000000,0.0,0.0,0.0,0.0,0.0,0.5
41023000000,0.4,0.0,0.0,0.0,0.0,0.0
41127000000,0.4,0.0,0.0,0.0,0.0,0.0
41223000000,0.4,0.0,0.0,0.0,0.0,0.0
41328000000,0.4,0.0,0.0,0.0,0.0,0.0
41428000000,0.0,0.0,0.0,0.0,0.0,-0.5
41527000000,0.0,0.0,0.0,0.0,0.0,-0.5
41626000000,0.0,0.0,0.0,0.0,0.0,-0.5
41734000000,0.4,0.0,0.0,0.0,0.0,0.0
41837000000,0.4,0.0,0.0,0.0,0.0,0.0
41924000000,0.4,0.0,0.0,0.0,0.0,0.0
42024000000,0.0,0.0,0.0,0.0,0.0,0.0
